token_id,buyer,seller,price
4,,jmg,2Ξ ($373)
4,,jmg,2Ξ ($250)
4,,Carlini8,2Ξ ($264)
4,,Carlini8,2Ξ ($255)
4,,natealex,4.40Ξ ($589)
4,,natealex,4.40Ξ ($621)
4,,noun12.e…,"28Ξ ($71,053)"
4,,noun12.e…,"28Ξ ($109,026)"
5,0xc352b5,,
5,,0x9be1c7,0.06Ξ ($15)
5,,0x717403,0.06Ξ ($15)
5,,0x717403,0.06Ξ ($16)
5,,0x00d7c9,1Ξ ($246)
5,,0x00d7c9,1Ξ ($238)
5,,0xce6259,"1.25Ξ ($1,635)"
5,,0xce6259,"1.25Ξ ($1,613)"
5,0xe34bde,0xc352b5,
5,0xfd9065,0xe34bde,
5,WrappedC…,0xfd9065,
5,,0x2d0f9c,"3Ξ ($6,115)"
5,,0x2d0f9c,"3Ξ ($6,037)"
5,,vengist,"4.20Ξ ($11,322)"
5,,0x976292,"5Ξ ($16,098)"
5,0xe34bde,WrappedC…,
6,0xc352b5,,
6,,0x9be1c7,0.06Ξ ($15)
6,,0x717403,0.06Ξ ($15)
6,,0x00d7c9,1Ξ ($246)
6,,0x00d7c9,1Ξ ($238)
6,,TokenAng…,"10Ξ ($7,350)"
6,,TokenAng…,"10Ξ ($10,126)"
6,,s19m.eth,0.06Ξ ($130)
6,,s19m.eth,0.06Ξ ($127)
6,,0x8a0a45,0.06Ξ ($191)
6,,0x8a0a45,0.06Ξ ($191)
6,,snoopalo…,"1Ξ ($3,923)"
6,,snoopalo…,"1Ξ ($3,941)"
7,0xc352b5,,
7,,0x9be1c7,0.06Ξ ($15)
7,,0x00d7c9,1Ξ ($246)
7,,0x00d7c9,1Ξ ($238)
7,,Pranksy,1Ξ ($132)
7,,Pranksy,1Ξ ($136)
7,,jmg,5Ξ ($816)
7,,MrTpunks,5.50Ξ ($898)
7,,jmg,6Ξ ($960)
7,,jmg,6Ξ ($965)
7,,Michel_M…,1.75Ξ ($428)
7,,Michel_M…,1.75Ξ ($551)
7,,0xc2ce86,0.20Ξ ($844)
7,,0x63ba2a,"1Ξ ($4,485)"
8,0xc352b5,,
8,,0x9be1c7,0.06Ξ ($15)
8,,0x717403,0.06Ξ ($15)
8,,0x8b27de,0.49Ξ ($118)
8,,0x00d7c9,1Ξ ($246)
8,,0x00d7c9,1Ξ ($238)
8,,0x43b89f,0.10Ξ ($38)
8,,0x43b89f,0.10Ξ ($31)
8,,jmg,5Ξ ($808)
8,,jmg,5Ξ ($804)
8,,MBK,2Ξ ($422)
8,,MBK,2Ξ ($409)
8,,Michel_M…,2.15Ξ ($918)
8,,Michel_M…,2.15Ξ ($945)
8,,kskum,"2Ξ ($3,618)"
8,,0x516358,"20Ξ ($40,949)"
8,,0x516358,"20Ξ ($41,618)"
8,,0x516358,"30Ξ ($62,427)"
8,,0x516358,"30Ξ ($68,985)"
9,0xc352b5,,
9,,0x9be1c7,0.06Ξ ($15)
9,,0xa0a59c,0.20Ξ ($63)
9,,0xa0a59c,0.20Ξ ($48)
9,,0x00d7c9,1Ξ ($246)
9,,0x00d7c9,1Ξ ($238)
9,,0x00bd3a,1.20Ξ ($260)
9,,0x00bd3a,1.20Ξ ($274)
9,,0x00bd3a,1.25Ξ ($282)
9,,0x00bd3a,1.25Ξ ($924)
9,,jmg,1.50Ξ ($217)
9,,jmg,1.50Ξ ($217)
9,,jmg,1.50Ξ ($217)
9,,jmg,1.50Ξ ($263)
9,,0xa1179f,1.80Ξ ($301)
9,,0xa1179f,1.80Ξ ($314)
9,,jmg,2Ξ ($377)
9,,jmg,2Ξ ($362)
9,,jmg,5Ξ ($832)
9,,jmg,5Ξ ($804)
9,,Pranksy,4Ξ ($839)
9,,Pranksy,4Ξ ($794)
9,,Alex3422,"6Ξ ($1,437)"
9,,Alex3422,"6Ξ ($1,443)"
9,,jmg,"20Ξ ($7,400)"
9,,jmg,"20Ξ ($7,071)"
9,,jmg,"25Ξ ($8,839)"
9,,jmg,"27.50Ξ ($9,986)"
9,,jmg,"27.50Ξ ($9,493)"
9,,jmg,"36Ξ ($13,669)"
9,,jmg,"36Ξ ($13,597)"
10,0xc352b5,,
10,,0x9be1c7,0.06Ξ ($15)
10,,0x717403,0.06Ξ ($15)
10,,0x7ebcda,0.60Ξ ($145)
10,,0x7ebcda,0.60Ξ ($145)
10,,0x00d7c9,1Ξ ($246)
10,,0x00d7c9,1Ξ ($238)
10,,0x00d7c9,0.60Ξ ($123)
10,,0x00d7c9,0.60Ξ ($123)
10,,0xddfdcb,"25.50Ξ ($46,570)"
10,,0xddfdcb,"25.50Ξ ($45,336)"
11,0xc352b5,,
12,0xc352b5,,
12,,0x717403,0.05Ξ ($13)
12,,Pranksy,0.50Ξ ($66)
12,,Pranksy,0.50Ξ ($65)
12,,0x3d0414,<0.01Ξ ($28)
13,0xc352b5,,
13,,0x717403,0.05Ξ ($13)
13,,jmg,2Ξ ($263)
13,,jmg,2Ξ ($289)
13,,jmg,3.50Ξ ($506)
13,,jmg,3.50Ξ ($477)
13,,Pranksy,3.33Ξ ($699)
13,,Pranksy,3.33Ξ ($661)
13,,jmg,"13Ξ ($4,538)"
13,,jmg,"13Ξ ($4,910)"
13,,Pranksy,"15Ξ ($19,917)"
13,,Pranksy,"15Ξ ($21,074)"
13,,0x4eb676,"53.33Ξ ($81,654)"
13,,0x4eb676,"53.33Ξ ($81,801)"
13,,0x983ace,"70Ξ ($149,995)"
13,,0x983ace,"70Ξ ($149,334)"
13,,daddykal…,"42Ξ ($112,400)"
13,,daddykal…,"42Ξ ($116,917)"
14,0xc352b5,,
14,,0x717403,0.05Ξ ($14)
14,,0x00d7c9,0.36Ξ ($114)
14,,0x00d7c9,0.36Ξ ($114)
14,,0x7760e0,0.05Ξ ($16)
14,,0x6611fe,0.10Ξ ($28)
14,,0x7760e0,0.10Ξ ($28)
14,,0x6611fe,0.33Ξ ($88)
14,,0x717403,0.33Ξ ($88)
14,,Hemba,0.61Ξ ($145)
14,,Hemba,0.61Ξ ($145)
14,,0x3a6372,0.10Ξ ($22)
14,,,0.90Ξ ($185)
14,0xd8e806,0xc352b5,0.90Ξ ($185)
14,,,2Ξ ($394)
14,,,1.90Ξ ($375)
14,,,1.85Ξ ($365)
14,0x582fa7,0xd8e806,1.85Ξ ($351)
14,,,"2.50Ξ ($1,884)"
14,0x7c00c9…,0x582fa7,2.50Ξ ($234)
14,,,5.50Ξ ($515)
14,,,
14,,robers,0.50Ξ ($86)
14,,robers,0.50Ξ ($83)
14,,,"444Ξ ($736,920)"
14,,,"555Ξ ($986,357)"
14,,0xe369a8,"34Ξ ($68,246)"
14,,0xe369a8,"34Ξ ($68,201)"
14,,0xe369a8,"33Ξ ($66,189)"
14,,0xe369a8,"33Ξ ($66,189)"
14,,0xe369a8,"33.25Ξ ($64,905)"
14,,0xe369a8,"33.25Ξ ($64,905)"
14,,0xd69111,"0.48Ξ ($1,230)"
14,,,667Ξ ($2.19M)
15,0xc352b5,,
15,,0x00d7c9,0.10Ξ ($30)
15,,0x717403,0.10Ξ ($28)
15,,0x2e2e26,0.75Ξ ($89)
15,,0x2e2e26,0.75Ξ ($276)
15,,opal.eth,"15Ξ ($29,170)"
15,,opal.eth,"15Ξ ($29,211)"
15,,TokenAng…,"50Ξ ($94,707)"
15,,TokenAng…,"50Ξ ($80,008)"
15,,runhot99…,"57.50Ξ ($131,713)"
15,,runhot99…,"57.50Ξ ($123,576)"
15,,0x65b1b9,"135Ξ ($457,184)"
15,,0x65b1b9,"135Ξ ($569,300)"
16,0xc352b5,,
16,,0x83e0bb,"1.60Ξ ($3,011)"
16,,0x83e0bb,"1.60Ξ ($3,385)"
17,0xc352b5,,
17,,0x118ee7,<0.01Ξ ($0)
17,,0x565590,0.02Ξ ($26)
17,,0x682b2a,0.10Ξ ($222)
18,0xc352b5,,
19,0xc352b5,,
19,,Dude_Nak…,2.30Ξ ($464)
19,,Dude_Nak…,2.30Ξ ($470)
20,0xc352b5,,
20,,0x516358,"20Ξ ($42,231)"
20,,0x516358,"20Ξ ($41,618)"
20,,0x7e152b,"28Ξ ($94,399)"
20,,0x7e152b,"28Ξ ($93,739)"
21,0xc352b5,,
21,,magicdhz…,"21Ξ ($44,569)"
21,,magicdhz…,"21Ξ ($44,643)"
22,0xc352b5,,
22,,0x717403,0.05Ξ ($14)
22,,0x9be1c7,0.06Ξ ($15)
22,,0x717403,0.06Ξ ($15)
22,,0x6611fe,0.10Ξ ($28)
22,,0x7760e0,0.10Ξ ($28)
22,,Hemba,0.51Ξ ($136)
22,,Hemba,0.51Ξ ($136)
22,,Zieg,0.80Ξ ($161)
22,,Zieg,0.80Ξ ($161)
22,,Pranksy,1.25Ξ ($165)
22,,Pranksy,1.25Ξ ($170)
22,,Pranksy,2.50Ξ ($360)
22,,Pranksy,3.99Ξ ($575)
22,,Pranksy,3.99Ξ ($608)
22,,Alex3422,5Ξ ($815)
22,,Alex3422,5Ξ ($833)
22,,Pranksy,4Ξ ($839)
22,,Pranksy,4Ξ ($794)
22,,Pranksy,"8Ξ ($1,627)"
22,,Pranksy,"8Ξ ($1,614)"
22,,Pranksy,"9Ξ ($1,853)"
22,,Pranksy,"9Ξ ($1,858)"
22,,m01222,"6.50Ξ ($2,484)"
22,,m01222,"6.50Ξ ($2,381)"
23,0xc352b5,,
23,,0xd80c8c,0.02Ξ ($16)
23,,0x10ae9f,0.10Ξ ($74)
23,,0x10ae9f,0.10Ξ ($74)
24,0xc352b5,,
24,,Choyna,0.50Ξ ($114)
24,,Choyna,0.50Ξ ($114)
24,,Korniej,"3Ξ ($1,124)"
24,,Korniej,"3Ξ ($1,037)"
24,,0xfc80c3,"25Ξ ($42,313)"
24,,0xfc80c3,"25Ξ ($45,688)"
25,0xc352b5,,
25,,Pranksy,1Ξ ($132)
25,,Pranksy,1Ξ ($132)
25,,0x0601d0,3Ξ ($571)
25,,0x0601d0,3Ξ ($565)
26,0xc352b5,,
27,0xc352b5,,
28,0xc352b5,,
28,,0x9be1c7,0.06Ξ ($15)
28,,0x717403,0.06Ξ ($15)
28,,0xf6721b,0.10Ξ ($175)
28,,0xf6721b,0.10Ξ ($171)
28,,snoopalo…,"0.50Ξ ($1,962)"
28,,snoopalo…,"0.50Ξ ($1,423)"
29,0xc352b5,,
30,0xc352b5,,
30,alien635…,0xc352b5,
31,0xc352b5,,
32,0xc352b5,,
32,DANNY,0xc352b5,
32,0x5ea968,DANNY,
32,gary.vee…,0x5ea968,
33,0xc352b5,,
33,,0x6611fe,0.51Ξ ($123)
33,0x6611fe,0xc352b5,0.51Ξ ($105)
33,,dafky200…,2Ξ ($770)
33,,dafky200…,2Ξ ($813)
33,,pronoic.…,0.20Ξ ($386)
33,,pronoic.…,0.20Ξ ($395)
33,0x8e2328,0x6611fe,
34,0xc352b5,,
35,0xc352b5,,
35,,0xbfa319,0.23Ξ ($62)
35,,0xbfa319,0.23Ξ ($62)
35,,snoopalo…,"0.50Ξ ($1,962)"
35,,snoopalo…,"0.50Ξ ($1,423)"
36,0xc352b5,,
36,,scalynel…,4Ξ ($986)
36,,scalynel…,4Ξ ($955)
36,,scalynel…,"6Ξ ($1,464)"
36,,scalynel…,"6Ξ ($1,408)"
36,,scalynel…,"16Ξ ($6,229)"
36,,scalynel…,"16Ξ ($6,092)"
36,,0xdc5556,"10Ξ ($18,779)"
36,,0xdc5556,"10Ξ ($16,853)"
36,,0x4affe1,"26Ξ ($47,386)"
36,,0x4affe1,"26Ξ ($46,950)"
37,0xc352b5,,
38,0xc352b5,,
39,0xc352b5,,
39,0xe34bde,0xc352b5,
39,0xfd9065,0xe34bde,
39,WrappedC…,0xfd9065,
39,,astorm.e…,0Ξ ($18)
39,,0xf6721b,0.02Ξ ($44)
39,,nnscapit…,0.04Ξ ($102)
39,,nnscapit…,0.04Ξ ($102)
39,,nnscapit…,0.10Ξ ($255)
39,,nnscapit…,0.10Ξ ($256)
39,0xe34bde,WrappedC…,
40,0xc352b5,,
40,,0x717403,0.05Ξ ($13)
40,,0x717403,0.05Ξ ($14)
41,0xc352b5,,
42,0xc352b5,,
42,,0xa0a59c,0.42Ξ ($97)
42,,0xa0a59c,0.42Ξ ($96)
42,,0x7058cc,<0.01Ξ ($1)
42,,0x7058cc,<0.01Ξ ($1)
42,,0xc20497,<0.01Ξ ($8)
43,0xc352b5,,
43,,TweetyPi…,0.66Ξ ($87)
43,,TweetyPi…,0.66Ξ ($86)
44,0xc352b5,,
44,,0x1fca36,"10Ξ ($18,817)"
44,,0x1fca36,"10Ξ ($17,556)"
44,,0x1fca36,"25Ξ ($43,889)"
44,,0x1fca36,"25Ξ ($41,717)"
44,,lennard.…,"80Ξ ($326,580)"
44,,lennard.…,"80Ξ ($332,801)"
45,0xc352b5,,
45,,0x89948e,"0.50Ξ ($1,903)"
46,0xc352b5,,
47,0xc352b5,,
48,0xc352b5,,
48,,Carlini8,2Ξ ($264)
48,,Carlini8,2Ξ ($431)
48,,0xc31da1,0.20Ξ ($772)
49,0xc352b5,,
49,0xe34bde,0xc352b5,
49,0xfd9065,0xe34bde,
49,WrappedC…,0xfd9065,
49,,0xf09d1a,<0.01Ξ ($2)
49,,0x8adaef,<0.01Ξ ($4)
49,,0x50a087,<0.01Ξ ($10)
49,,0x098eb2,0.09Ξ ($288)
49,0xe34bde,WrappedC…,
50,0xc352b5,,
50,,Hemba,0.50Ξ ($119)
50,,Hemba,0.50Ξ ($119)
51,0xc352b5,,
51,0xe34bde,0xc352b5,
51,0xfd9065,0xe34bde,
51,WrappedC…,0xfd9065,
51,,0xb6b401,<0.01Ξ ($0)
